comment_id,video_title,author,comment,date,sentiment
UgyIWze8YkNKVJUkaG54AaABAg,Ahsoka | Teaser Trailer | Disney+,Cassian andor,Disney will ruin it like they have all their other shows (aside from Andor).,2023-04-25T01:21:24Z,negative
Ugx8sPvCWyu8tS0nWsR4AaABAg,Ahsoka | Teaser Trailer | Disney+,Blackstar,"holy smokes, that looks mediocre at best",2023-04-25T01:19:11Z,positive
Ugz9Xb31jaBe7wkQwDd4AaABAg,Ahsoka | Teaser Trailer | Disney+,iNabber,please be good,2023-04-24T23:29:15Z,positive
UgyfRk2Au_v3JVw0RjF4AaABAg,Ahsoka | Teaser Trailer | Disney+,Gabriel –,wait im confused does this take place after mandalorian or like before andor s2? idk when rebels ending timeline fits into this,2023-04-24T21:45:15Z,negative
UgyteVqCql24zt3GXTl4AaABAg,Ahsoka | Teaser Trailer | Disney+,1 Alamby,"just finished rebels again....the two dark jedi have to be related to the two wolves for the portal in the world between worlds, given their names",2023-04-24T21:14:54Z,negative
UgwByRgoHzgNueHxHZV4AaABAg,Ahsoka | Teaser Trailer | Disney+,Your Friend,"The enemies look so goofy and unintimidating, nice work.",2023-04-24T20:29:29Z,negative
UgwISrzH2pZbKARiqrZ4AaABAg,Ahsoka | Teaser Trailer | Disney+,Kit Snow,"Look how woke it is, females made up 90% of the cast lol",2023-04-24T20:18:48Z,positive
Ugyk4v5C7xxnWgXztkl4AaABAg,Ahsoka | Teaser Trailer | Disney+,LP,"Ahsoka & Obi Wan are at this point the MVP’s of the whole Star Wars saga…..
Luke who??",2023-04-23T20:07:34Z,negative
UgzrQ32SOnIJqOkfkUZ4AaABAg,Ahsoka | Teaser Trailer | Disney+,Marta Burga,"Warrior......
Outcast.....
Rebel.....................

JEDI !!!

Goosebumps. 

When done right, nothing tops Star Wars and this, this looks incredible !!",2023-04-23T20:04:24Z,positive
Ugx6zaf6OuXvMTahOLV4AaABAg,Ahsoka | Teaser Trailer | Disney+,Pe Vo,"I’ve been hoping for an Ashoka movie for so long I kinda gave up. And now that I’ve seen the trailer, the first thing I noticed is that in every scene but one, Ashoka is not holding her sabres using her trademark reverse grip. She’s holding them like everyone else does. And to me that just reeks of what I’m going to assume is huge lack of attention to detail on Disney’s part which I have to believe is going to be indicative of the whole show. I hope I’m wrong. I really I hope I’m wrong.",2023-04-23T19:31:08Z,positive
UgxUt1-BT_GWCfTz4W14AaABAg,Ahsoka | Teaser Trailer | Disney+,SteelGnat 7438,I would be fun if Thrawn and Erza ended up warping so far from the known Galaxy since the whales must be ablw to travel way farther then ships can ended up with in the Unknown regions where Ashoka wilk fined traces of Ezra and the story will go their is an entire world unknown to the majority of all the republics and nations of the central systems where Thrawn home work is also from the last few years Thrawn and Ezra have been Fighting the Grysk Hegemony for the last few years sinxe rebels but they are fighting the Grysk their own way Ezra  inspired others to join him in making the a resistance like Guerilla force against Grysk as well as Thrawn who returned to his home planet in the unknown region eith help wirh some of the empires secret council with his knowledge has built a new army to wage war on both the Grysk and the New Republic that why the First order has archives of the most of the unknown region because it remaining data from the Grysk while also with ezra learning origin of the Jedi and sith who came from the unknown region that why Luke was their he was called to the force for the final 3 way battle and explore more of the unknown region with the force so that why when he exiled himself he was able to navigate the unknown region to hide yet the New Republic and First Order could not known where he is,2023-04-24T19:36:29Z,positive
UgxOzQgJnQkMb9YWkMV4AaABAg,Ahsoka | Teaser Trailer | Disney+,wasabi19821,Looks amazing!,2023-04-24T19:03:35Z,positive
Ugyq0S_NQb4dTugy0xd4AaABAg,Ahsoka | Teaser Trailer | Disney+,Rumpel Stilzchen,I hope we can see Kanan in a flashback or something. Still my favourite character.,2023-04-24T17:59:41Z,positive
UgyR5vvkFU35gzPY_654AaABAg,Ahsoka | Teaser Trailer | Disney+,Addison Black,Can't wait to see if they bring Ezra back can't have Thrawn without him,2023-04-24T17:53:52Z,neutral
UgwxeFfWd3RuSk0YoWp4AaABAg,Ahsoka | Teaser Trailer | Disney+,Conspiracy Theory,Hopefully we atleast get a pic of Kanan or even a force ghost,2023-04-24T17:10:36Z,positive
